Date,Close,High,Low,Open,Volume,Ticker
2019-01-01,138.87887573242188,139.42518839544925,138.1600409719021,138.59134182821398,2227003,COALINDIA.NS
2019-01-02,136.1185760498047,138.85014869269727,135.7447854086081,138.53385957907852,3897893,COALINDIA.NS
2019-01-03,135.1409454345703,137.26869473538085,134.10582154435897,137.26869473538085,5664136,COALINDIA.NS
2019-01-04,136.0035400390625,136.69361967118516,134.42210352698038,134.62338077481718,2885669,COALINDIA.NS
2019-01-07,134.85342407226562,136.86616174498602,134.27835616577408,136.86616174498602,7347326,COALINDIA.NS
2019-01-08,134.16331481933594,135.2271849473568,133.50198160748064,134.85339440031882,4206563,COALINDIA.NS
2019-01-09,133.78953552246094,135.05469184760324,133.3007331012371,134.68089246977874,2954253,COALINDIA.NS
2019-01-10,133.9907989501953,134.5371116115482,133.44448628884246,134.45085495048554,2292058,COALINDIA.NS
2019-01-11,133.5594940185547,134.42209570220518,133.1281931767294,134.39334055778255,2446815,COALINDIA.NS
2019-01-14,132.78317260742188,133.70328474354991,131.71930227329096,133.64577444447704,2273231,COALINDIA.NS
2019-01-15,133.78953552246094,134.33585701506297,132.86943220171293,133.12821098645958,2323323,COALINDIA.NS
2019-01-16,133.44447326660156,134.22080946492125,133.15693939133408,133.87577407950278,2050899,COALINDIA.NS
2019-01-17,133.44447326660156,133.84701893700853,132.4956062133164,133.84701893700853,3220136,COALINDIA.NS
2019-01-18,132.26564025878906,133.7320654166265,132.03561656827554,133.50203295127164,2944908,COALINDIA.NS
2019-01-21,131.69052124023438,132.98442374150304,131.2017101187088,132.52436776386216,1904575,COALINDIA.NS
2019-01-22,130.9717254638672,132.4669056421066,129.8503447176079,131.37427127344225,4564028,COALINDIA.NS
2019-01-23,129.70655822753906,131.11547273662708,129.53403611370726,131.00046091901893,2328748,COALINDIA.NS
2019-01-24,128.7289581298828,130.1091176357514,128.24014688518258,129.7928285229948,2838220,COALINDIA.NS
2019-01-25,127.06124114990234,130.08034739679334,126.57243873673774,128.95896683148737,3432012,COALINDIA.NS
2019-01-28,129.50531005859375,130.82796819531683,125.39357742524884,127.23379324489603,3917992,COALINDIA.NS
2019-01-29,127.98133850097656,129.8790639641528,127.17623832956095,129.6202764386175,3850399,COALINDIA.NS
2019-01-30,129.50531005859375,131.1155021913505,126.83124740541714,127.66509423894654,7349253,COALINDIA.NS
2019-01-31,129.18899536132812,130.8279423245606,128.26889202087224,130.25287444621088,15389786,COALINDIA.NS
