Date,Close,High,Low,Open,Volume,Ticker
2019-01-01,518.072265625,523.4277771121075,516.671318157401,520.2681405591713,1693785,DRREDDY.NS
2019-01-02,516.8800048828125,520.2482584076887,511.71327948069734,517.8636578990256,2087755,DRREDDY.NS
2019-01-03,512.1702880859375,519.6123932220748,509.51739656169616,517.6649179559196,2709455,DRREDDY.NS
2019-01-04,516.6713256835938,517.8636562563694,509.11999979676824,512.6969308706431,2036985,DRREDDY.NS
2019-01-07,508.45428466796875,519.4236230435257,504.211598720949,519.4236230435257,2712075,DRREDDY.NS
2019-01-08,510.80908203125,514.0581692794615,506.9340833770212,508.9212808338935,3447490,DRREDDY.NS
2019-01-09,517.287353515625,518.8373650713551,512.875772834785,512.875772834785,2321680,DRREDDY.NS
2019-01-10,516.7508544921875,518.6585471103068,513.322926678372,516.2937772355272,1952070,DRREDDY.NS
2019-01-11,514.3165283203125,518.8174991446291,512.696957498364,518.8174991446291,1583935,DRREDDY.NS
2019-01-14,512.45849609375,517.6649437907594,507.7289563859463,513.7601080180024,1972390,DRREDDY.NS
2019-01-15,515.6380004882812,517.4661881258305,512.9652175734764,513.6905252144599,1787885,DRREDDY.NS
2019-01-16,520.0396118164062,522.1758125265725,511.7629180840351,512.6969032405225,4730740,DRREDDY.NS
2019-01-17,520.476806640625,522.3944447903268,516.6713067661133,520.6457014335449,3249010,DRREDDY.NS
2019-01-18,516.035400390625,522.5037375569493,515.5783838062877,517.6649167947046,2681365,DRREDDY.NS
2019-01-21,516.631591796875,525.0175670869186,513.054600160044,517.664912592697,2975320,DRREDDY.NS
2019-01-22,524.6797485351562,525.6137337770979,514.6742019399854,516.4925046157297,3880330,DRREDDY.NS
2019-01-23,525.96142578125,528.594486484866,522.6328945320292,524.5902547805416,3772630,DRREDDY.NS
2019-01-24,530.273681640625,531.5156799898888,525.0274515039987,525.0274515039987,3057825,DRREDDY.NS
2019-01-25,531.05859375,534.7548123097754,525.7130280939602,530.6810214066775,3046410,DRREDDY.NS
2019-01-28,521.5896606445312,530.9592893049099,516.0850849185149,530.9592893049099,3424970,DRREDDY.NS
2019-01-29,529.876220703125,533.3637617893463,517.267450969183,519.8508439359344,4338480,DRREDDY.NS
2019-01-30,529.6676025390625,532.5688937109221,524.1133592214668,527.6108459893746,3285070,DRREDDY.NS
2019-01-31,540.6766357421875,542.2167622251843,526.8060368608267,529.5881010602077,6157590,DRREDDY.NS
2019-02-01,554.6764526367188,560.1909130777058,539.5539101219957,540.0605944978901,7254975,DRREDDY.NS
2019-02-04,543.5382080078125,571.9153842969824,539.5737589198659,557.9851718383057,10747910,DRREDDY.NS
2019-02-05,560.6777954101562,568.3086262416308,551.0498214642794,551.4870073233747,8266655,DRREDDY.NS
2019-02-06,554.3684692382812,559.594808180082,548.6652223197071,559.594808180082,4408975,DRREDDY.NS
2019-02-07,560.7473754882812,563.3704907405785,554.6268338773759,554.6268338773759,2809020,DRREDDY.NS
2019-02-08,550.39404296875,559.9921793202594,546.807166368491,559.9921793202594,3570965,DRREDDY.NS
2019-02-11,519.7216796875,538.1231470319284,508.5933621100198,528.6144001882545,9477310,DRREDDY.NS
2019-02-12,527.1041259765625,531.8634420586548,513.4918112541205,520.4470023603146,6546620,DRREDDY.NS
2019-02-14,530.0352172851562,531.5653373894946,519.8508310205547,526.3489444246986,2987045,DRREDDY.NS
2019-02-15,509.3882141113281,528.5944934184248,372.1921228455581,528.5944934184248,33781355,DRREDDY.NS
2019-02-18,509.8254089355469,534.4865356824433,505.75167856700966,526.6073053532655,13437905,DRREDDY.NS
2019-02-19,504.1321105957031,518.6585186614466,497.812807129512,513.481847629777,11348990,DRREDDY.NS
2019-02-20,501.7971496582031,513.4917954274537,498.49839470074687,511.68343851824534,7798610,DRREDDY.NS
2019-02-21,513.9488525390625,517.8636336849689,500.74391785835553,506.73531656485096,6551985,DRREDDY.NS
2019-02-22,524.520751953125,526.6072848617789,507.86802886457275,513.6408345992608,6890795,DRREDDY.NS
2019-02-25,529.9656982421875,535.539772592092,521.2021501202294,524.6698000030278,6377575,DRREDDY.NS
2019-02-26,526.1701049804688,528.5745967618687,522.4242186188072,527.3823268831247,5065570,DRREDDY.NS
2019-02-27,525.9912719726562,533.1650253043158,522.6428492859636,529.4887587185349,3965490,DRREDDY.NS
2019-02-28,522.9608154296875,530.3829685338212,519.7017826175152,530.3829685338212,3348795,DRREDDY.NS
2019-03-01,525.8124389648438,528.0181989476761,512.7068698157735,524.222644673907,4428975,DRREDDY.NS
2019-03-05,527.4220581054688,530.3432406477358,517.5854069248172,523.626503874057,3233555,DRREDDY.NS
2019-03-06,535.2814331054688,538.2324529166414,527.9288387706549,528.7137599481072,4261975,DRREDDY.NS
2019-03-07,532.7179565429688,541.690121088308,530.3631325229107,534.5560898431995,4583795,DRREDDY.NS
