Date,Close,High,Low,Open,Volume,Ticker
2019-01-01,97.1243896484375,97.71223062004168,95.62213138094711,97.2876808004923,4011082,NTPC.NS
2019-01-02,96.01402282714844,97.12438708425462,95.45883770868164,96.63451962085081,5201079,NTPC.NS
2019-01-03,93.66265869140625,96.27528714748279,93.30342055949535,96.01402250792691,7035283,NTPC.NS
2019-01-04,95.19757843017578,95.55681058112192,92.91152629591132,94.02189652563774,7988112,NTPC.NS
2019-01-07,97.05908203125,97.77755236665354,95.45884422173016,95.52416188124971,14121843,NTPC.NS
2019-01-08,95.98136901855469,97.64691842933699,95.36086623190761,96.66718348181799,6656692,NTPC.NS
2019-01-09,95.72010040283203,96.96109994483098,94.96896831427645,96.01402087489805,4636543,NTPC.NS
2019-01-10,96.73248291015625,97.67956189944789,95.85072156903786,95.98135686538438,15340801,NTPC.NS
2019-01-11,96.66718292236328,98.16944117325569,96.14465363349221,96.66718292236328,13579929,NTPC.NS
2019-01-14,95.06694793701172,96.89578854110731,94.83834510393515,96.66718570803074,5010679,NTPC.NS
2019-01-15,95.23023223876953,95.65478203530996,94.15252384923613,95.36086156543722,14730974,NTPC.NS
2019-01-16,95.58946990966797,96.99375459914071,95.16491413530879,95.55680809328511,5679378,NTPC.NS
2019-01-17,94.64239501953125,96.4385737460878,94.21784520630126,95.9487062770426,7529166,NTPC.NS
2019-01-18,94.25050354003906,95.62213248968621,94.05455654723234,94.90366217600406,3100312,NTPC.NS
2019-01-21,93.66265869140625,95.85073136072606,93.17279122963112,95.68744619335263,13187677,NTPC.NS
2019-01-22,93.270751953125,93.9892221387601,92.74822872537462,93.9892221387601,7074433,NTPC.NS
2019-01-23,91.9317855834961,93.79328181506838,91.63786512587942,93.33607620088267,5323552,NTPC.NS
2019-01-24,91.4745864868164,92.81355356925269,90.8540837121972,91.93179213357772,4250377,NTPC.NS
2019-01-25,90.3315658569336,92.68292982717915,90.16827469905726,91.76851249869293,5463236,NTPC.NS
2019-01-28,90.52750396728516,91.11534490213766,89.25384860843808,90.46218631458137,7303346,NTPC.NS
2019-01-29,90.46218872070312,91.05002967119107,89.74371844116031,90.52750637514424,9728281,NTPC.NS
