Date,Close,High,Low,Open,Volume,Ticker
2019-01-01,18303.5625,18437.73159144893,18223.48141921671,18409.35542757664,4603,BOSCHLTD.NS
2019-01-02,18211.279296875,18352.59948191604,18168.270393710598,18246.059679418697,10810,BOSCHLTD.NS
2019-01-03,18044.900390625,18420.48143296435,17961.92125130103,18241.386008007066,18865,BOSCHLTD.NS
2019-01-04,18174.765625,18225.721819537328,17967.715909940103,18045.037698540287,6798,BOSCHLTD.NS
2019-01-07,18241.7578125,18316.181543798004,18164.014185643173,18241.383456840176,8827,BOSCHLTD.NS
2019-01-08,18045.6015625,18274.016982179688,17998.57335458031,18246.060828137728,6385,BOSCHLTD.NS
2019-01-09,18209.921875,18301.737626090053,18017.03739621389,18101.1377681525,8981,BOSCHLTD.NS
2019-01-10,18422.7734375,18456.38510580524,18129.190872570292,18175.9396886419,8856,BOSCHLTD.NS
2019-01-11,18248.677734375,18419.02965381962,18185.285622679778,18328.43010212477,11700,BOSCHLTD.NS
2019-01-14,17873.095703125,18203.984099830774,17792.40836388404,18203.984099830774,18658,BOSCHLTD.NS
2019-01-15,17886.140625,18035.689324694275,17804.51647941016,17918.817309889364,8369,BOSCHLTD.NS
2019-01-16,17848.1328125,18044.94527806473,17812.276844924996,17957.61814664613,6336,BOSCHLTD.NS
2019-01-17,17905.306640625,17979.589758657807,17731.821101037196,17904.79167333838,7450,BOSCHLTD.NS
2019-01-18,17961.310546875,18035.68862466004,17782.87072682184,17983.32996405968,7530,BOSCHLTD.NS
2019-01-21,17807.55859375,18021.153198842254,17778.106840326545,17914.145891853932,5432,BOSCHLTD.NS
2019-01-22,17959.3515625,18064.67700742526,17755.292985983746,17853.372364618048,7505,BOSCHLTD.NS
2019-01-23,17848.8359375,18024.4233689172,17783.24699306549,17959.34939183326,5495,BOSCHLTD.NS
2019-01-24,17909.841796875,17988.89293153941,17727.240231589763,17851.49892220954,9082,BOSCHLTD.NS
2019-01-25,17321.603515625,17977.536825328232,17116.843719664033,17844.021488196646,19282,BOSCHLTD.NS
2019-01-28,17074.908203125,17343.80696913024,16737.28869252509,17343.80696913024,13237,BOSCHLTD.NS
2019-01-29,16990.33984375,17095.338400326826,16757.391986934697,17095.10465627935,7895,BOSCHLTD.NS
2019-01-30,17254.14453125,17371.858404176157,17011.65881051583,17249.376517688153,18985,BOSCHLTD.NS
2019-01-31,17625.888671875,17689.748271614277,17231.609970710946,17390.555911840675,21091,BOSCHLTD.NS
2019-02-01,18060.142578125,18134.800069444802,17516.687611102687,17699.101119539602,14994,BOSCHLTD.NS
2019-02-04,17809.517578125,18226.423779152017,17694.422387424434,18012.31425594355,9148,BOSCHLTD.NS
2019-02-05,17817.279296875,17970.19354561283,17718.078695776498,17858.04389047848,9772,BOSCHLTD.NS
2019-02-06,17996.654296875,18044.104335479362,17803.58172600208,17914.14265339057,10117,BOSCHLTD.NS
2019-02-07,17974.68359375,18043.824352877495,17904.887255611186,17924.42862329972,8422,BOSCHLTD.NS
2019-02-08,17690.029296875,18060.372970336495,17624.299745622935,18021.66459399905,9120,BOSCHLTD.NS
2019-02-11,17576.3359375,17741.172968043207,17403.646567966076,17652.350231180804,16064,BOSCHLTD.NS
2019-02-12,17383.263671875,17558.900410901442,17297.152729591868,17558.900410901442,12840,BOSCHLTD.NS
2019-02-14,16908.43359375,17299.86167835254,16737.00610193962,16818.34901746773,45120,BOSCHLTD.NS
2019-02-15,16974.443359375,17041.809116810648,16643.509304238018,16970.750934285956,21066,BOSCHLTD.NS
2019-02-18,16565.017578125,16969.814714374064,16502.32670571362,16969.814714374064,12603,BOSCHLTD.NS
2019-02-19,16606.439453125,16745.939000263563,16422.156006128786,16614.527362620578,14644,BOSCHLTD.NS
2019-02-20,16993.798828125,17039.892054480777,16600.500763867523,16736.07229925253,10625,BOSCHLTD.NS
2019-02-21,16874.96484375,17104.92150176964,16764.403911907957,17082.014585658602,8542,BOSCHLTD.NS
2019-02-22,16942.470703125,17001.607950312486,16597.23072646129,16750.099341720645,38884,BOSCHLTD.NS
2019-02-25,17148.072265625,17213.84747859333,16923.163001636407,16923.163001636407,21822,BOSCHLTD.NS
2019-02-26,17543.84375,17659.82826359806,16885.761198911314,17053.963761543233,37919,BOSCHLTD.NS
2019-02-27,17594.146484375,17811.29468333588,17326.323311305838,17558.85113664293,22036,BOSCHLTD.NS
2019-02-28,17789.13671875,18031.014308318685,17594.14672026777,17594.38046429562,27618,BOSCHLTD.NS
2019-03-01,17530.5703125,17764.548110641474,17484.990221952958,17764.548110641474,11992,BOSCHLTD.NS
2019-03-05,17692.833984375,17756.131135969317,17451.515191781215,17484.053090549536,18202,BOSCHLTD.NS
2019-03-06,17647.859375,17801.290407152548,17510.231629591657,17764.545117590853,12834,BOSCHLTD.NS
2019-03-07,17284.154296875,17706.52974632346,17208.2349686749,17647.90747582075,22652,BOSCHLTD.NS
2019-03-08,17231.46875,17313.186025599818,17016.564860652456,17284.90299883967,11836,BOSCHLTD.NS
2019-03-11,17858.326171875,17923.493280844523,17286.774505453017,17297.059243381515,18632,BOSCHLTD.NS
2019-03-12,17841.822265625,18159.05856469356,17769.31413770255,17904.79254153166,14924,BOSCHLTD.NS
2019-03-13,17398.880859375,17951.544985876528,17299.86650383716,17951.544985876528,22948,BOSCHLTD.NS
2019-03-14,17352.689453125,17526.12752492406,17077.338983341582,17512.10288299961,28714,BOSCHLTD.NS
2019-03-15,17171.072265625,17474.61266493812,17115.254914956884,17474.61266493812,30082,BOSCHLTD.NS
2019-03-18,17269.3359375,17306.782461826453,17171.070311803578,17278.358822348193,6788,BOSCHLTD.NS
2019-03-19,17242.12890625,17321.78814368777,17134.3729050871,17295.188802701145,8466,BOSCHLTD.NS
2019-03-20,17196.83203125,17297.060755556322,17161.021710154513,17242.130900454216,10493,BOSCHLTD.NS
