Date,Close,High,Low,Open,Volume,Ticker
2020-03-16,671.316650390625,743.8274917597167,646.292496151489,651.2185060306924,60887005,SBICARD.NS
2020-03-17,720.0840454101562,736.8817246741529,678.8040644619412,680.7744681323677,15145135,SBICARD.NS
2020-03-18,679.0010986328125,757.6201909465169,669.9372299657107,740.970256325473,8949832,SBICARD.NS
2020-03-19,681.8088989257812,706.3896960518839,640.3811749424331,650.2331930184705,6432046,SBICARD.NS
2020-03-20,713.7787475585938,719.1973577885071,680.0355838541329,695.7988136138811,6492226,SBICARD.NS
2020-03-23,573.7816162109375,687.670932909329,571.4171075750872,649.2480584344526,6260086,SBICARD.NS
2020-03-24,604.618408203125,614.7167275135561,566.5403313358901,610.8251680455851,4019306,SBICARD.NS
2020-03-25,615.701904296875,639.2975004818023,582.6483944644364,592.1063081119476,3487615,SBICARD.NS
2020-03-26,641.3171997070312,683.5330777851594,612.2537431641648,624.6180151924514,4360453,SBICARD.NS
2020-03-27,646.1939086914062,679.7892672673466,640.3811938025729,665.0112397180565,3114532,SBICARD.NS
2020-03-30,606.2440185546875,633.1893289741793,598.0176060172821,630.5292715832958,1791851,SBICARD.NS
2020-03-31,609.4952392578125,628.5588738395033,599.54466301284,625.6032678496624,2334476,SBICARD.NS
2020-04-01,599.0519409179688,614.7659216138135,592.3525807216432,614.7659216138135,1500748,SBICARD.NS
2020-04-03,581.515380859375,605.6035776583384,579.2986767391994,604.716871957489,1693653,SBICARD.NS
2020-04-07,577.3775024414062,601.9582993598209,573.3874471807131,596.0470885641433,3137346,SBICARD.NS
2020-04-08,570.9244995117188,589.5448394243294,567.4762928710095,576.1460575412596,3090942,SBICARD.NS
2020-04-09,586.3921508789062,605.1602340224433,566.4910615594708,576.3923280872945,6139508,SBICARD.NS
2020-04-13,498.01953125,572.8948712598913,493.68464915735905,571.4170684965381,22872176,SBICARD.NS
2020-04-15,497.1820983886719,516.6891126972683,494.5713195476807,502.452934201827,8436630,SBICARD.NS
2020-04-16,524.225830078125,529.2503951106222,493.5860795331367,497.5268865553573,8012039,SBICARD.NS
2020-04-17,522.6495971679688,540.6787795396443,515.2605830704009,537.9202263029424,6749997,SBICARD.NS
