Date,Close,High,Low,Open,Volume,Ticker
2019-01-01,309.5701599121094,312.6866320542579,308.25927847559416,312.36510877034954,1501848,BIOCON.NS
2019-01-02,308.08612060546875,312.2414368955198,306.2063461667559,309.07547875140335,2465144,BIOCON.NS
2019-01-03,302.7436218261719,309.9411969927894,302.24894270554086,308.0614223729551,1772780,BIOCON.NS
2019-01-04,305.9837646484375,306.6268414679988,300.3938966125315,303.28775739696613,2021902,BIOCON.NS
2019-01-07,307.0225830078125,307.937727228474,304.96965274916334,307.6903876885314,1070616,BIOCON.NS
2019-01-08,311.2273864746094,313.6265681761165,305.88482772050946,307.2204674090344,2941908,BIOCON.NS
2019-01-09,312.5629577636719,314.61588797775937,310.8563391293647,312.9834530881358,2905760,BIOCON.NS
2019-01-10,311.87042236328125,312.7608386411345,306.77523403568557,312.14248981029004,2953536,BIOCON.NS
2019-01-11,317.83135986328125,318.4002529736275,310.7079678919413,312.0683355800721,3551582,BIOCON.NS
2019-01-14,319.31536865234375,320.42839666081437,315.72894506949405,319.06802909490585,3714704,BIOCON.NS
2019-01-15,320.4036560058594,322.2587026128956,318.1033861360081,321.590867718673,2435202,BIOCON.NS
2019-01-16,321.8876953125,324.0148093966937,319.0680184135381,320.9972789740952,1874162,BIOCON.NS
2019-01-17,325.32574462890625,326.4882285169529,321.2446417724443,322.58025128030454,2201550,BIOCON.NS
2019-01-18,322.5555114746094,332.6717054330323,321.5414253256074,326.4882164844629,7051164,BIOCON.NS
2019-01-21,327.9722595214844,332.07809021599525,323.6685451000597,323.91588466229314,3652816,BIOCON.NS
2019-01-22,330.742431640625,332.37489681233,326.53765932294493,328.81320128114373,2370580,BIOCON.NS
2019-01-23,331.7565612792969,334.9967034510879,329.48101922961723,333.1663846830113,4858128,BIOCON.NS
2019-01-24,331.48443603515625,333.2652988206021,329.08525459885936,333.2652988206021,3029878,BIOCON.NS
2019-01-25,328.81317138671875,337.59372454593307,324.6578552793174,336.87643388309664,16858364,BIOCON.NS
2019-01-28,321.07147216796875,329.7036287260668,317.1140392650302,328.96161005676583,3619544,BIOCON.NS
2019-01-29,320.6510009765625,323.8911430664224,318.5733427029798,320.55205911728405,3482528,BIOCON.NS
2019-01-30,319.61212158203125,323.8416516065584,318.3506960452482,321.54138195086165,3730288,BIOCON.NS
2019-01-31,320.7004699707031,324.18795175547035,319.5627140243502,321.54143051985704,1906104,BIOCON.NS
2019-02-01,329.5799560546875,331.1876631573933,317.0893085644348,317.0893085644348,3040754,BIOCON.NS
2019-02-04,322.75341796875,330.495128562856,321.640389879482,330.495128562856,1862736,BIOCON.NS
2019-02-05,321.1951599121094,326.14195131747937,319.562724786901,324.26217662200247,1227120,BIOCON.NS
2019-02-06,313.89862060546875,322.8028445115322,310.7079343338994,321.8382142164787,2359142,BIOCON.NS
2019-02-07,324.31158447265625,325.8945635267153,313.2060635650671,314.0964798477209,3229060,BIOCON.NS
2019-02-08,323.66851806640625,328.3185135251412,319.66162957001825,324.5094785463241,2066194,BIOCON.NS
2019-02-11,318.6722717285156,324.01479979341656,317.16350656193373,323.9653439621772,1461566,BIOCON.NS
2019-02-12,318.3507385253906,323.22334592544877,315.01165449803193,318.0786710506137,2613640,BIOCON.NS
2019-02-14,317.509765625,318.7712214737926,313.67600263179054,315.82787481463635,1895160,BIOCON.NS
2019-02-15,304.351318359375,317.583984375,302.17471822734194,316.5451703350121,2908320,BIOCON.NS
2019-02-18,299.7013244628906,309.6196646980671,298.78618019339837,307.64094827294525,4083386,BIOCON.NS
2019-02-19,304.7965393066406,307.04732317133846,299.37979712726235,300.96277628460257,2789238,BIOCON.NS
2019-02-20,306.4042663574219,307.1957408912867,302.347891437524,305.11808249886894,2093984,BIOCON.NS
2019-02-21,307.51727294921875,309.1249800156296,305.41488678545073,306.7999822194876,1578606,BIOCON.NS
2019-02-22,307.2946472167969,310.55951703242107,306.0084635069944,307.8882681449507,1408220,BIOCON.NS
2019-02-25,305.63751220703125,308.35824763401655,304.49975615794693,308.1356661624286,994254,BIOCON.NS
2019-02-26,306.503173828125,307.5667460241938,300.4186266280917,304.07926423087866,1861648,BIOCON.NS
2019-02-27,304.9201965332031,311.3510245635876,302.9909360469618,308.18506637919546,2426426,BIOCON.NS
2019-02-28,307.4183349609375,311.0542142951545,305.58801623911285,306.7505000554091,3454658,BIOCON.NS
2019-03-01,313.0824279785156,313.8244466605382,308.1850926000397,308.6797717213881,1697140,BIOCON.NS
2019-03-05,310.1143493652344,313.2555496693158,308.4324282965944,313.2308217521217,2515868,BIOCON.NS
2019-03-06,309.71856689453125,313.8244275053638,308.8034226530222,311.8457111407469,2315916,BIOCON.NS
2019-03-07,302.5209655761719,307.3688142049699,300.29490986156753,300.29490986156753,9733460,BIOCON.NS
2019-03-08,304.12872314453125,306.4537210945466,302.54574388966006,303.23830674892184,2711610,BIOCON.NS
2019-03-11,308.18505859375,308.75395159765384,304.15341212250064,304.22762605964084,1605956,BIOCON.NS
2019-03-12,314.7890319824219,317.55925304732733,308.67975719833134,309.1744362964056,4217094,BIOCON.NS
2019-03-13,305.9837646484375,315.0858725636387,304.7223389268331,315.0858725636387,2261018,BIOCON.NS
2019-03-14,305.4643859863281,308.6798005756579,302.54576682042375,305.7117255701227,2086494,BIOCON.NS
2019-03-15,308.18505859375,311.1036771647811,305.71166325993175,306.7504772230098,1950202,BIOCON.NS
2019-03-18,311.4005126953125,312.63721052174344,306.800002819553,309.17445660773683,1662440,BIOCON.NS
2019-03-19,311.3510437011719,313.2555461962609,308.48188071085326,313.1318764188443,1649138,BIOCON.NS
2019-03-20,310.73272705078125,315.2095674191449,309.8422804067497,312.0930947434941,2939410,BIOCON.NS
2019-03-22,305.1922607421875,311.64781661931033,304.7223095833256,311.64781661931033,1521608,BIOCON.NS
2019-03-25,301.8779602050781,304.7223654016028,300.8638739561855,303.83194894386344,3148742,BIOCON.NS
2019-03-26,302.4468078613281,304.6728637674925,301.95212877106934,304.17818467723373,1679568,BIOCON.NS
2019-03-27,297.9452209472656,305.46434943342086,296.8074650365223,304.07925396848043,2553814,BIOCON.NS
2019-03-28,300.2454833984375,301.1358997328009,292.8994807061039,296.8074576421857,4625466,BIOCON.NS
2019-04-01,306.45367431640625,308.1850510074594,302.9909209343,304.7222976253531,2404756,BIOCON.NS
2019-04-02,304.3265686035156,309.42175696420344,303.065143018963,307.1957011587056,1472882,BIOCON.NS
2019-04-03,300.7154541015625,305.95904078320984,300.072347080666,304.7470708805899,1263426,BIOCON.NS
2019-04-04,303.1146240234375,303.95558454725557,299.5034725664952,300.2702191468406,1233466,BIOCON.NS
2019-04-05,302.49627685546875,304.5986630805477,301.80371402184545,303.83191649584694,1244644,BIOCON.NS
2019-04-08,300.1217956542969,304.96964446695245,299.528174735993,304.920188637433,1538652,BIOCON.NS
2019-04-09,306.107421875,306.6515870021715,298.56356557945725,300.27021451766785,3248518,BIOCON.NS
2019-04-10,310.5595397949219,314.98692387618945,303.6340322420885,306.6515929343703,4839682,BIOCON.NS
2019-04-11,311.449951171875,313.6265513022029,308.48187655387306,311.02948601145124,1910560,BIOCON.NS
